STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,WESF
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130711,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130712,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130713,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130714,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130715,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130716,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130717,0.02,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130718,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130719,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130720,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130721,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130722,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130723,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130724,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130725,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130726,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130727,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130728,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130729,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130730,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130731,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130801,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130821,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130822,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130823,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130824,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130825,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130826,0.00,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130827,0.02,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130828,0.16,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130829,0.10,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130830,0.29,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130831,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130901,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130902,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130903,0.13,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130904,0.02,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130905,0.03,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130906,1.34,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130907,0.07,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130908,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130909,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130910,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130911,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130912,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130913,0.01,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130914,0.01,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130915,0.01,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130916,0.17,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130917,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130918,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130919,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130920,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130921,0.10,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130922,0.01,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130923,0.43,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130924,0.16,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130925,0.08,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130926,0.01,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130927,0.01,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130928,0.44,-9999,-9999,-9999
